LR,Heads,Embeddings,Block Size,Batch Size,Layers,Size,final_loss,total_training_time,Step 0 Loss,Step 100 Loss,Step 200 Loss,Step 300 Loss,Step 400 Loss,Step 500 Loss,Step 600 Loss,Step 700 Loss,Step 800 Loss,Step 900 Loss,Step 1000 Loss,Step 1100 Loss,Step 1200 Loss,Step 1300 Loss,Step 1400 Loss,Generated Text
0.0006,6,384,32,32,2,"[1024, 86]",1.540110468864441,55.61774802207947,4.6367,2.3377,2.0558,1.9110,1.8154,1.7362,1.6967,1.6299,1.5973,1.5550,1.5330,1.4993,1.4677,1.4479,1.4349,"Pillision C waited out cross his eyes?""\n""II am your\nto All they tuon waitin\nandidn't turned lered am"
0.0006,6,384,32,32,4,"[1024, 86]",1.386535406112671,106.01295328140259,4.5710,2.3208,2.0022,1.8490,1.7458,1.6762,1.6129,1.5604,1.5231,1.4870,1.4650,1.4282,1.4054,1.3803,1.3496,of onlyons in tuons to truth. Mapperial this.\nThey is ligned and for their his time to liking Anayah
0.0006,6,384,32,32,6,"[1024, 86]",1.4464433193206787,159.44015049934387,4.6323,2.3447,2.0227,1.8549,1.7385,1.6652,1.6054,1.5461,1.5144,1.4622,1.4243,1.4015,1.3769,1.3498,1.3316,"squat captort, and ""irel advings. Gratta themblowered\ntheir calk. His distuons buid\nback tudents.""\nG"
0.0006,6,384,64,32,2,"[2048, 86]",1.389499545097351,64.55291843414307,4.6312,2.4172,2.0757,1.9114,1.7887,1.6830,1.6012,1.5407,1.4887,1.4435,1.4031,1.3617,1.3403,1.3028,1.2728,"""We have commistionight is your rebeathing you dry thare some\nthoursed, whickly thirge if of two day"
0.0006,6,384,64,32,4,"[2048, 86]",1.293465495109558,109.56836128234863,4.5888,2.4039,2.0441,1.8242,1.6917,1.5787,1.5080,1.4383,1.3859,1.3436,1.2964,1.2558,1.2249,1.1784,1.1502,"turned in brought the from hill, that\nwas anot Torial a pilen body had comforted forwarding\nas the o"
0.0006,6,384,64,32,6,"[2048, 86]",1.208598017692566,152.20493245124817,4.5917,2.4088,2.0343,1.8168,1.6624,1.5591,1.4718,1.4058,1.3445,1.2930,1.2412,1.1969,1.1524,1.1227,1.0772,"had been. ""Your plane, so able face! Elled himself Yah\nElyon help with us, whist eyes. Arphad awled,"
0.0006,6,384,128,32,2,"[4096, 86]",1.2801270484924316,83.22027730941772,4.6787,2.4829,2.2797,1.9721,1.7954,1.6776,1.5837,1.4981,1.4419,1.3757,1.3310,1.2799,1.2394,1.1979,1.1661,our walking on the like at the for Gor replicate. After\nhad his bited at tradult as he scross to see
0.0006,6,384,128,32,4,"[4096, 86]",1.0722004175186157,152.85110712051392,4.6276,2.4605,2.2031,1.8775,1.6805,1.5597,1.4552,1.3668,1.2903,1.2217,1.1686,1.1071,1.0490,0.9963,0.9438,and would little before. A allowed the rage to each one\nof\nmand ran our tride's wale outhers. That w
0.0006,6,384,128,32,6,"[4096, 86]",0.9283968210220337,220.972998380661,4.6236,2.4786,2.2311,1.8843,1.6726,1.5215,1.4148,1.3248,1.2413,1.1697,1.0961,1.0314,0.9668,0.9019,0.8373,"in comfort. See you may people frielleQ fraint\nthis on the tents, and thighe surness would had be to"
0.0006,6,384,32,48,2,"[1536, 86]",1.412622332572937,59.4856743812561,4.6857,2.2753,1.9905,1.8405,1.7466,1.6653,1.6158,1.5694,1.5273,1.4968,1.4605,1.4326,1.4103,1.3867,1.3581,"he donEble few untersking him ative him of El Roi ""I have tasked the opensing of the Pyrran Clans Cl"
0.0006,6,384,32,48,4,"[1536, 86]",1.3328205347061157,101.54253602027893,4.6888,2.2362,1.9333,1.7715,1.6707,1.5906,1.5276,1.4780,1.4407,1.4049,1.3651,1.3354,1.3101,1.2749,1.2678,"me foriend in all hearound trade ound for Anayah.\n""They will sat me his way to get come. Muziti, i a"
0.0006,6,384,32,48,6,"[1536, 86]",1.3047795295715332,144.64776253700256,4.6322,2.2843,1.9369,1.7718,1.6587,1.5693,1.5114,1.4477,1.3950,1.3638,1.3285,1.2953,1.2677,1.2431,1.2140,"Her's eyes.""\n""Some from his paised.""\n""Some hose that why the yMung.""\nGratta bean almoss familiar you"
0.0006,6,384,64,48,2,"[3072, 86]",1.2967838048934937,68.4346821308136,4.6276,2.3853,2.0145,1.8119,1.6947,1.5789,1.5169,1.4514,1.4020,1.3687,1.3156,1.2759,1.2607,1.2195,1.1848,"humans, as hey well? Even evenore ully Torial and\nseem your incrafted, planding so!"" Gratta stoftind"
0.0006,6,384,64,48,4,"[3072, 86]",1.1733795404434204,120.55030846595764,4.6483,2.3532,1.9540,1.7355,1.6050,1.5001,1.4101,1.3506,1.2910,1.2374,1.1960,1.1448,1.1052,1.0580,1.0283,"had seen, perhaps away following. And there in the\ndight, to shappearingly be since –arriyah before"
0.0006,6,384,64,48,6,"[3072, 86]",1.045023798942566,174.66251397132874,4.5633,2.3931,1.9754,1.7406,1.5923,1.4744,1.3951,1.3173,1.2563,1.1944,1.1363,1.0788,1.0342,0.9889,0.9353,"Pyrran sack dether.""\n""Krel!"" Gratta!.""\n""Very have a smashekelbire with thisile measur\nfather.""\nAidde"
0.0006,6,384,128,48,2,"[6144, 86]",1.1736162900924683,115.75009822845459,4.6131,2.4644,2.1952,1.9163,1.7399,1.6021,1.4963,1.4141,1.3390,1.2775,1.2229,1.1672,1.1131,1.0729,1.0326,"ods out double, he even you so had it their wamp the\nmaeahled booke alon company. They were ligh dow"
0.0006,6,384,128,48,4,"[6144, 86]",0.9345325827598572,211.5034520626068,4.5891,2.4593,2.1201,1.7914,1.5918,1.4552,1.3514,1.2649,1.1841,1.1088,1.0440,0.9698,0.9122,0.8435,0.7764,"He and walked to Nurroup and interrogating\nthat Gratta's oals of the raled maeuw, and said Quickled."
0.0006,6,384,128,48,6,"[6144, 86]",0.8245331645011902,307.21567034721375,4.6361,2.4657,2.1663,1.7963,1.5807,1.4474,1.3315,1.2203,1.1376,1.0557,0.9611,0.8692,0.7965,0.7094,0.6241,"fest, and they reached the torchm them up on tribes on in fear\nsuddeep him was that was won't fight."
0.0006,6,384,32,64,2,"[2048, 86]",1.4148728847503662,74.5245771408081,4.5645,2.2251,1.9465,1.8108,1.6961,1.6345,1.5710,1.5236,1.4774,1.4512,1.4141,1.3924,1.3648,1.3415,1.3165,"sent aft, who noned to ver you from theris group at tho Artives. The maeuw. High the silence, Genera"
0.0006,6,384,32,64,4,"[2048, 86]",1.2755149602890015,117.06474924087524,4.6725,2.2041,1.8844,1.7104,1.6086,1.5338,1.4650,1.4177,1.3757,1.3367,1.3042,1.2669,1.2380,1.2052,1.1818,"geat?""\n""Ords unwally trapted to osched slav.\n""Chief Arphad slow. No doubt warrior\n69\nSEAN McKAY\nturn"
0.0006,6,384,32,64,6,"[2048, 86]",1.1789841651916504,164.00717425346375,4.5668,2.2352,1.8918,1.7020,1.5958,1.5081,1.4391,1.3889,1.3445,1.3070,1.2716,1.2241,1.1913,1.1650,1.1329,"""You are disterned with ords.""\n""Yes, undern."" Beriyah looked at blest. ""The\nnurth! Lrate?"" Gor,"" The"
0.0006,6,384,64,64,2,"[4096, 86]",1.260691523551941,85.06407618522644,4.6632,2.3346,1.9452,1.7510,1.6283,1.5386,1.4648,1.4025,1.3543,1.3156,1.2635,1.2328,1.1916,1.1592,1.1284,"""Why are in the child deceft Arphad to secontries\nthe celeasion in ointmerness, essir, I half to the"
0.0006,6,384,64,64,4,"[4096, 86]",1.083703875541687,149.96360731124878,4.6095,2.3258,1.8991,1.6725,1.5320,1.4171,1.3536,1.2807,1.2195,1.1615,1.1133,1.0563,1.0090,0.9591,0.9176,"18˜RISING PEACE\nSEACCWIN""\n""ING McKAY\n""If the Torial,"" assaued Gratta's founders in concerved\nwas phe"
0.0006,6,384,64,64,6,"[4096, 86]",0.9948094487190247,222.30994629859924,4.5112,2.3965,1.9490,1.6947,1.5188,1.4109,1.3211,1.2416,1.1718,1.1035,1.0456,0.9813,0.9264,0.8657,0.8113,of anterpopar terpharing the tribes in crothed whip mind? She we\nhall be will ee core to cent Time.
0.0006,6,384,128,64,2,"[8192, 86]",1.1242319345474243,144.85615873336792,4.5964,2.4492,2.1205,1.8250,1.6552,1.5308,1.4216,1.3447,1.2737,1.2185,1.1574,1.1133,1.0619,1.0166,0.9732,"today.\n""Sir, telling! Gratta turned to Gratta! Anayah the\nmare turned to him. Zechariyah Elyon. His"
0.0006,6,384,128,64,4,"[8192, 86]",0.8493064641952515,254.23553228378296,4.5926,2.4306,2.0332,1.7230,1.5427,1.4031,1.2961,1.2058,1.1124,1.0304,0.9515,0.8757,0.7952,0.7170,0.6524,"ds again. His would be robed his northern moons in\nin the moonishment be ilves in taking, but capto"
0.0006,6,384,128,64,6,"[8192, 86]",0.6391811966896057,375.42111372947693,4.6449,2.4476,2.0835,1.7218,1.5052,1.3546,1.2283,1.1238,1.0114,0.9063,0.8009,0.6983,0.5986,0.5170,0.4318,"General Beriyah, any looked across the bridge. Not of\nthe cubs for your felt signers. Do not kneet a"
0.0006,8,512,32,32,2,"[1024, 86]",1.4852473735809326,73.68712997436523,4.6030,2.2670,2.0025,1.8485,1.7595,1.7008,1.6317,1.5886,1.5543,1.5104,1.4852,1.4465,1.4299,1.4172,1.3792,"wife, the each!""\nAnayah wand manother\nof the High Priest a had sa had drounded in they last the tuon"
0.0006,8,512,32,32,4,"[1024, 86]",1.306360125541687,130.12647557258606,4.6269,2.2712,1.9753,1.8106,1.7269,1.6457,1.5793,1.5270,1.4861,1.4583,1.4144,1.3933,1.3570,1.3420,1.3127,nurrers are coplied the otherw. I\nwe would need even if the tuon.\nArphad of put of hildie. Taka tuon
0.0006,8,512,32,32,6,"[1024, 86]",1.3160500526428223,188.53037428855896,4.5802,2.3466,2.0305,1.8580,1.7248,1.6500,1.5772,1.5244,1.4816,1.4512,1.4194,1.3688,1.3473,1.3212,1.2968,"feet I – bow, sir!""\nGratta andded Namal his such delegation, rarly le man from believil,\nand we name"
0.0006,8,512,64,32,2,"[2048, 86]",1.2550132274627686,79.06190371513367,4.6069,2.3520,1.9867,1.8141,1.6914,1.5889,1.5118,1.4510,1.4124,1.3552,1.3136,1.2754,1.2385,1.2060,1.1799,"""Yes!"" you are nation lost to Let us. The\nrud will sa Clans in the where bout of Tribe infuce\nboore"
0.0006,8,512,64,32,4,"[2048, 86]",1.1698087453842163,148.56377863883972,4.6209,2.3947,1.9754,1.7575,1.6288,1.5274,1.4375,1.3727,1.3095,1.2670,1.2242,1.1780,1.1425,1.0990,1.0558,"How herned any.\nFour wound of his comforthle, and he smaue to\nGratta looking at Arphad said for shoo"
0.0006,8,512,64,32,6,"[2048, 86]",1.1204664707183838,212.25371050834656,4.6679,2.4465,2.0359,1.8002,1.6509,1.5346,1.4609,1.3747,1.3037,1.2560,1.2042,1.1515,1.0993,1.0658,1.0169,"used storthers and great returned his since ushatisy\nthe Pyrrangs stook and Krel smiled neart, but f"
0.0006,8,512,128,32,2,"[4096, 86]",1.0831705331802368,123.92509126663208,4.6424,2.4527,2.1422,1.8617,1.6758,1.5613,1.4544,1.3733,1.2936,1.2335,1.1817,1.1230,1.0684,1.0224,0.9787,"undreforw safed taken. The had larget dhis paws\nstricked up and a becave. Perhapfeed torcue,""\n""Yes,"
0.0006,8,512,128,32,4,"[4096, 86]",0.9771825671195984,230.62586998939514,4.7078,2.4516,2.1279,1.8156,1.6131,1.4962,1.3803,1.2858,1.2047,1.1334,1.0635,0.9849,0.9161,0.8453,0.7752,"oven Gratta stood and focanned. Gratta\ncame ounced at his lost table to his let a lone. Anayah. ""Yes"
0.0006,8,512,128,32,6,"[4096, 86]",0.7903634905815125,335.39553356170654,4.6098,2.4747,2.1916,1.8258,1.6120,1.4625,1.3451,1.2494,1.1588,1.0705,0.9736,0.8982,0.8233,0.7378,0.6564,"wrihzed ""I am very Muzite,"" Lamek said to my atte, so he\nknow whipped to disguis a tuon smell of wit"
0.0006,8,512,32,48,2,"[1536, 86]",1.4133869409561157,79.1501829624176,4.6031,2.1881,1.9114,1.7677,1.6776,1.6022,1.5571,1.4973,1.4614,1.4240,1.3979,1.3576,1.3258,1.3187,1.2807,"ANS Chief Gratta was spiage down them for any maeuws?""\nLameke cusshes. Nheekers hundred his\nbick of"
0.0006,8,512,32,48,4,"[1536, 86]",1.2776528596878052,138.1866626739502,4.6182,2.2005,1.8819,1.7292,1.6243,1.5285,1.4790,1.4400,1.3992,1.3491,1.3116,1.2841,1.2492,1.2325,1.2056,"knew a placed. Gratta looked at Arpea. ""Uh,\n4Y\nhuman that 15 milla's Time Muzite; A Chief Gratta's b"
0.0006,8,512,32,48,6,"[1536, 86]",1.3057934045791626,197.14080119132996,4.5572,2.2870,1.9536,1.7660,1.6408,1.5646,1.4895,1.4308,1.3852,1.3427,1.3108,1.2722,1.2341,1.2013,1.1738,"two guard said the nanails,"" and the\nhall tumbls of his warriors. ""I may is forth.""\nGratta knew Agai"
0.0006,8,512,64,48,2,"[3072, 86]",1.154878854751587,98.02438855171204,4.6497,2.2872,1.9091,1.7214,1.5876,1.5000,1.4258,1.3611,1.3063,1.2535,1.2183,1.1772,1.1406,1.0982,1.0618,"looked at the tent of the maeuw anker to about\nwords.""MEveryones back to the troops becle. ""Chief Pe"
0.0006,8,512,64,48,4,"[3072, 86]",1.0354113578796387,183.89568424224854,4.5953,2.3358,1.9057,1.6775,1.5398,1.4310,1.3482,1.2754,1.2109,1.1617,1.0917,1.0435,0.9900,0.9418,0.8862,"Namal's littly of brought at his outPyr, some."" The tire wall\nreasonating ht almost out of day. Nama"
0.0006,8,512,64,48,6,"[3072, 86]",0.920397937297821,272.60332798957825,4.7141,2.3978,1.9520,1.6992,1.5435,1.4165,1.3434,1.2495,1.1780,1.1093,1.0371,0.9861,0.9258,0.8595,0.8012,"wannon the treaty, having they could teach to them up the\nground."" The Anayah role of a high was the"
0.0006,8,512,128,48,2,"[6144, 86]",0.966744601726532,168.17760515213013,4.6286,2.4189,2.0375,1.7725,1.5908,1.4620,1.3605,1.2767,1.2018,1.1306,1.0647,1.0001,0.9353,0.8793,0.8138,had need to work his rumble. Gratta could same to his\nways. A list. Gratta conting to be allied as t
0.0006,8,512,128,48,4,"[6144, 86]",0.6789772510528564,317.2094304561615,4.6158,2.4357,2.0547,1.7291,1.5308,1.3782,1.2563,1.1534,1.0389,0.9438,0.8550,0.7614,0.6563,0.5747,0.4954,"""I am Gratta confirs to celebration that he was was,\nand blow. Foull four he5r neze turned on two no"
0.0006,8,512,128,48,6,"[6144, 86]",0.5195450186729431,453.6893787384033,4.6100,2.4677,2.1309,1.7576,1.5353,1.3672,1.2297,1.1040,0.9842,0.8698,0.7615,0.6412,0.5296,0.4514,0.3642,odden whis worships.\nTuon till help us were maeuw and wait filled with arcries\nwere scrime were nang
0.0006,8,512,32,64,2,"[2048, 86]",1.3144441843032837,92.9484932422638,4.6203,2.1618,1.8784,1.7174,1.6239,1.5556,1.4919,1.4476,1.4068,1.3683,1.3289,1.2998,1.2770,1.2460,1.2253,His did who looked from againstoran for a yest.\nChief Pelana did not held knorthward of clearly\nand
