LR,Heads,Embeddings,Block Size,Batch Size,Layers,Size,final_loss,total_training_time,Step 0 Loss,Step 100 Loss,Step 200 Loss,Step 300 Loss,Step 400 Loss,Step 500 Loss,Step 600 Loss,Step 700 Loss,Step 800 Loss,Step 900 Loss,Step 1000 Loss,Step 1100 Loss,Step 1200 Loss,Step 1300 Loss,Step 1400 Loss,Step 1500 Loss,Step 1600 Loss,Step 1700 Loss,Step 1800 Loss,Step 1900 Loss,Step 2000 Loss,Step 2100 Loss,Step 2200 Loss,Step 2300 Loss,Step 2400 Loss,Step 2500 Loss,Step 2600 Loss,Step 2700 Loss,Step 2800 Loss,Step 2900 Loss,Step 3000 Loss,Step 3100 Loss,Step 3200 Loss,Step 3300 Loss,Step 3400 Loss,Step 3500 Loss,Step 3600 Loss,Step 3700 Loss,Step 3800 Loss,Step 3900 Loss,Step 4000 Loss,Step 4100 Loss,Step 4200 Loss,Step 4300 Loss,Step 4400 Loss,Step 4500 Loss,Step 4600 Loss,Step 4700 Loss,Step 4800 Loss,Step 4900 Loss,Generated Text
0.0006,8,512,64,48,4,"[3072, 86]",0.3760831356048584,709.2264630794525,4.6449,2.3244,1.8846,1.6664,1.5307,1.4287,1.3392,1.2782,1.2081,1.1626,1.0983,1.0365,0.9936,0.9399,0.8896,0.8389,0.7936,0.7430,0.7011,0.6637,0.6127,0.5726,0.5350,0.4995,0.4767,0.4430,0.4214,0.3921,0.3708,0.3482,0.3345,0.3166,0.3033,0.2883,0.2795,0.2690,0.2617,0.2520,0.2441,0.2427,0.2344,0.2310,0.2303,0.2248,0.2182,0.2166,0.2128,0.2120,0.2107,0.2090,"SEAN McKAY\nspace for him to lie down. One of his guards attacked him with the\ncritwain.""\n""Yes, sir!"""
0.0006,8,512,64,48,6,"[3072, 86]",0.2777579128742218,854.0670623779297,4.6294,2.4111,1.9597,1.6968,1.5432,1.4235,1.3326,1.2558,1.1809,1.1191,1.0481,0.9852,0.9151,0.8683,0.8041,0.7503,0.7002,0.6468,0.5916,0.5493,0.5032,0.4609,0.4236,0.3989,0.3696,0.3443,0.3260,0.3060,0.2889,0.2775,0.2677,0.2554,0.2480,0.2371,0.2323,0.2295,0.2229,0.2209,0.2175,0.2133,0.2129,0.2079,0.2067,0.2027,0.2011,0.2008,0.2000,0.1959,0.1960,0.1943,The taskmaster different –\nbut as far as Gratta could discuss what as well\nsit down next to him. Gra
0.0006,8,512,128,48,4,"[6144, 86]",0.17191825807094574,961.0095205307007,4.5675,2.4374,2.0359,1.7105,1.5094,1.3676,1.2500,1.1419,1.0382,0.9510,0.8543,0.7534,0.6539,0.5680,0.4961,0.4202,0.3553,0.2961,0.2571,0.2254,0.2008,0.1814,0.1677,0.1543,0.1477,0.1402,0.1350,0.1282,0.1275,0.1223,0.1200,0.1183,0.1175,0.1137,0.1132,0.1115,0.1115,0.1094,0.1077,0.1067,0.1064,0.1058,0.1053,0.1047,0.1026,0.1017,0.1013,0.1026,0.1009,0.1014,amily it be represent and in front front of the words. The fithering the\nTuon Council? Surely the fa
0.0006,8,512,128,48,6,"[6144, 86]",0.14685983955860138,1370.2299811840057,4.6682,2.4641,2.1126,1.7495,1.5293,1.3684,1.2337,1.1251,1.0052,0.8906,0.7868,0.6778,0.5756,0.4760,0.3943,0.3244,0.2660,0.2258,0.1966,0.1755,0.1602,0.1479,0.1387,0.1326,0.1287,0.1242,0.1223,0.1192,0.1155,0.1144,0.1139,0.1121,0.1100,0.1090,0.1082,0.1063,0.1059,0.1055,0.1038,0.1036,0.1028,0.1012,0.1015,0.1015,0.1006,0.0995,0.0998,0.0990,0.0978,0.0983,"to be camp. Slowly Gratta heard nodded and bd smiled. Aidden smell\ngaze and out feling the first, wh"
0.0006,8,512,64,64,4,"[4096, 86]",0.2923130691051483,717.8308460712433,4.5610,2.2917,1.8492,1.6145,1.4795,1.3792,1.2811,1.2016,1.1319,1.0674,0.9911,0.9360,0.8693,0.8173,0.7588,0.6956,0.6381,0.5922,0.5424,0.4994,0.4588,0.4233,0.3906,0.3648,0.3415,0.3187,0.2983,0.2869,0.2735,0.2623,0.2520,0.2471,0.2378,0.2316,0.2242,0.2227,0.2187,0.2144,0.2102,0.2134,0.2071,0.2065,0.2011,0.2005,0.1981,0.1965,0.1944,0.1947,0.1920,0.1919,"you.""\nZechariyah now like for the soon. And darts with the\nmeant placed a paw around the ensweep you"
0.0006,8,512,64,64,6,"[4096, 86]",0.26782742142677307,1045.136684179306,4.6745,2.3752,1.8906,1.6238,1.4663,1.3448,1.2475,1.1646,1.0837,1.0017,0.9218,0.8540,0.7825,0.7052,0.6417,0.5795,0.5248,0.4689,0.4221,0.3822,0.3445,0.3186,0.2994,0.2828,0.2650,0.2520,0.2386,0.2342,0.2260,0.2213,0.2155,0.2116,0.2108,0.2054,0.2017,0.2003,0.1963,0.1959,0.1933,0.1930,0.1917,0.1900,0.1882,0.1881,0.1866,0.1868,0.1841,0.1851,0.1823,0.1834,"neck. Then he unsheathed\na long gold knife from his belt, cut the pigeon\nin half, and put the halves"
0.0006,8,512,128,64,4,"[8192, 86]",0.15791501104831696,1170.4332084655762,4.5839,2.4199,1.9699,1.6508,1.4434,1.3055,1.1795,1.0486,0.9393,0.8289,0.7158,0.6124,0.5162,0.4229,0.3504,0.2943,0.2406,0.2107,0.1826,0.1667,0.1493,0.1395,0.1345,0.1282,0.1231,0.1193,0.1189,0.1144,0.1136,0.1100,0.1093,0.1090,0.1064,0.1064,0.1050,0.1038,0.1023,0.1020,0.1016,0.1004,0.1003,0.0994,0.0991,0.0975,0.0979,0.0979,0.0959,0.0969,0.0959,0.0961,"the tuon deovices. The sounds of while cast a splce! Prothere turned to the\nFish Valley.""\n""For came"
0.0006,8,512,128,64,6,"[8192, 86]",0.13911037147045135,1630.8871057033539,4.6692,2.4607,2.0761,1.6899,1.4601,1.2934,1.1523,1.0187,0.8970,0.7690,0.6386,0.5190,0.4041,0.3224,0.2577,0.2076,0.1787,0.1591,0.1440,0.1344,0.1265,0.1222,0.1215,0.1156,0.1141,0.1122,0.1092,0.1092,0.1067,0.1054,0.1033,0.1032,0.1023,0.1008,0.1003,0.0986,0.0996,0.0976,0.0973,0.0975,0.0961,0.0961,0.0957,0.0952,0.0944,0.0943,0.0938,0.0936,0.0931,0.0929,wearing before the weaker maeuw and forth of the Tuon\nCouncil was meeting. Nearly half of the tuon a
0.0006,12,768,64,48,4,"[3072, 86]",0.26972007751464844,1007.9060397148132,4.5191,2.3853,1.9257,1.6796,1.5224,1.4084,1.3183,1.2308,1.1610,1.0896,1.0192,0.9580,0.9040,0.8258,0.7630,0.7099,0.6508,0.5941,0.5350,0.4911,0.4533,0.4122,0.3805,0.3523,0.3296,0.3083,0.2871,0.2739,0.2604,0.2565,0.2429,0.2375,0.2298,0.2238,0.2196,0.2197,0.2126,0.2118,0.2095,0.2074,0.2033,0.2029,0.2000,0.2003,0.1977,0.1947,0.1944,0.1927,0.1934,0.1921,needs. Were there are they ran guards at the came to him. Ence Gratta\nsea and Gor that was followed
0.0006,12,768,64,48,6,"[3072, 86]",0.254733145236969,1485.8109641075134,4.7261,2.5468,2.1656,1.8395,1.6286,1.4874,1.3760,1.2778,1.2077,1.1224,1.0596,0.9881,0.9097,0.8419,0.7651,0.7108,0.6379,0.5830,0.5195,0.4692,0.4299,0.3847,0.3472,0.3277,0.3014,0.2870,0.2704,0.2532,0.2444,0.2387,0.2321,0.2264,0.2185,0.2154,0.2106,0.2114,0.2054,0.2054,0.2023,0.2007,0.1999,0.1982,0.1968,0.1928,0.1950,0.1931,0.1905,0.1890,0.1894,0.1882,"concil just as he had done for Namal.\n""To the right is Chief Taka, to the grade as word our\nlooked l"
0.0006,12,768,128,48,4,"[6144, 86]",0.1412997543811798,1545.8367545604706,4.5704,2.4645,2.1163,1.7157,1.4973,1.3307,1.1863,1.0607,0.9307,0.8165,0.6879,0.5715,0.4589,0.3705,0.2954,0.2357,0.1996,0.1774,0.1611,0.1458,0.1364,0.1297,0.1240,0.1206,0.1173,0.1153,0.1137,0.1107,0.1087,0.1074,0.1066,0.1059,0.1043,0.1031,0.1022,0.1008,0.1010,0.1006,0.0990,0.0995,0.0983,0.0985,0.0975,0.0965,0.0964,0.0966,0.0958,0.0952,0.0956,0.0940,Repority is of Torial. – now that was different. They had too seen the\ntable where two cords away a
0.0006,12,768,128,48,6,"[6144, 86]",0.11566249281167984,2107.8502399921417,4.6386,2.5535,2.3912,1.9699,1.6447,1.4187,1.2426,1.0951,0.9455,0.8038,0.6594,0.5281,0.4112,0.3142,0.2553,0.2003,0.1724,0.1531,0.1398,0.1314,0.1286,0.1229,0.1180,0.1157,0.1122,0.1125,0.1092,0.1079,0.1061,0.1053,0.1041,0.1032,0.1038,0.1025,0.1008,0.1000,0.0990,0.0992,0.0983,0.0974,0.0969,0.0968,0.0969,0.0962,0.0956,0.0941,0.0949,0.0942,0.0938,0.0940,"worships.\n""Yes, the first to roop if their growling. He knew he muster and sat\ndown again.\nGratta ha"
0.0006,12,768,64,64,4,"[4096, 86]",0.24650506675243378,1256.8803617954254,4.5693,2.3121,1.8482,1.6148,1.4521,1.3205,1.2283,1.1345,1.0471,0.9562,0.8870,0.7906,0.7171,0.6449,0.5713,0.5088,0.4482,0.4006,0.3652,0.3285,0.3044,0.2805,0.2609,0.2491,0.2400,0.2317,0.2269,0.2208,0.2143,0.2109,0.2057,0.2007,0.1991,0.1995,0.1953,0.1944,0.1945,0.1910,0.1896,0.1885,0.1862,0.1852,0.1839,0.1818,0.1823,0.1823,0.1813,0.1815,0.1791,0.1786,"we been done, so be\nthe need for tuon something with humans? Will they be faithful? Yes, they\nhave g"
