LR,Heads,Embeddings,Block Size,Batch Size,Layers,Step,Training Loss,Validation Loss,Accumulated Time Sec
0.0006,12,768,128,48,6,0,4.6779,4.6736,22.100358486175537
0.0006,12,768,128,48,6,100,2.5540,2.6344,64.0577929019928
0.0006,12,768,128,48,6,200,2.3989,2.5130,106.15827131271362
0.0006,12,768,128,48,6,300,1.9687,2.1571,148.32127380371094
0.0006,12,768,128,48,6,400,1.6221,1.8990,190.61550951004028
0.0006,12,768,128,48,6,500,1.4166,1.8133,232.9606556892395
0.0006,12,768,128,48,6,600,1.2538,1.7742,275.06566405296326
0.0006,12,768,128,48,6,700,1.0948,1.7672,317.36501145362854
0.0006,12,768,128,48,6,800,0.9534,1.8229,359.62829208374023
0.0006,12,768,128,48,6,900,0.8145,1.8951,401.8573508262634
0.0006,12,768,128,48,6,1000,0.6677,1.9854,444.24913787841797
0.0006,12,768,128,48,6,1100,0.5369,2.1182,486.6293947696686
0.0006,12,768,128,48,6,1200,0.4181,2.2461,529.0383195877075
0.0006,12,768,128,48,6,1300,0.3210,2.4317,571.5144510269165
0.0006,12,768,128,48,6,1400,0.2468,2.5727,613.8963651657104
0.0006,12,768,128,48,6,1500,0.2014,2.7371,656.3544437885284
0.0006,12,768,128,48,6,1600,0.1770,2.8212,698.824734210968
0.0006,12,768,128,48,6,1700,0.1539,2.9603,741.2298002243042
0.0006,12,768,128,48,6,1800,0.1390,3.0932,783.7649688720703
0.0006,12,768,128,48,6,1900,0.1317,3.1500,859.71049451828
0.0006,12,768,128,48,6,2000,0.1247,3.2552,919.4278972148895
0.0006,12,768,128,48,6,2100,0.1207,3.3529,961.9444417953491
0.0006,12,768,128,48,6,2200,0.1171,3.3738,1004.4745609760284
0.0006,12,768,128,48,6,2300,0.1146,3.4592,1047.0864765644073
0.0006,12,768,128,48,6,2400,0.1128,3.5254,1089.7386357784271
0.0006,12,768,128,48,6,2500,0.1119,3.4975,1132.3450245857239
0.0006,12,768,128,48,6,2600,0.1077,3.5889,1175.1327884197235
0.0006,12,768,128,48,6,2700,0.1073,3.6437,1217.7918021678925
0.0006,12,768,128,48,6,2800,0.1055,3.6468,1260.5122916698456
0.0006,12,768,128,48,6,2900,0.1047,3.6949,1303.1321997642517
0.0006,12,768,128,48,6,3000,0.1028,3.7623,1345.7650692462921
0.0006,12,768,128,48,6,3100,0.1018,3.7773,1388.461933374405
0.0006,12,768,128,48,6,3200,0.1030,3.7961,1431.0641160011292
0.0006,12,768,128,48,6,3300,0.1014,3.8042,1473.6959853172302
0.0006,12,768,128,48,6,3400,0.1007,3.8028,1516.4105656147003
0.0006,12,768,128,48,6,3500,0.0998,3.9078,1559.141979932785
0.0006,12,768,128,48,6,3600,0.0985,3.9659,1601.830528497696
0.0006,12,768,128,48,6,3700,0.0984,3.8804,1644.5530619621277
0.0006,12,768,128,48,6,3800,0.0977,3.9986,1687.4268870353699
0.0006,12,768,128,48,6,3900,0.0971,4.0371,1730.1741547584534
0.0006,12,768,128,48,6,4000,0.0970,3.9218,1772.8623926639557
0.0006,12,768,128,48,6,4100,0.0962,3.9292,1815.9289951324463
0.0006,12,768,128,48,6,4200,0.0957,4.0394,1858.5950891971588
0.0006,12,768,128,48,6,4300,0.0960,4.0454,1901.02983212471
0.0006,12,768,128,48,6,4400,0.0960,3.9980,1943.4875657558441
0.0006,12,768,128,48,6,4500,0.0948,4.0463,1986.0031390190125
0.0006,12,768,128,48,6,4600,0.0941,4.0414,2028.522928237915
0.0006,12,768,128,48,6,4700,0.0943,4.0655,2070.9977197647095
0.0006,12,768,128,48,6,4800,0.0936,4.1184,2113.375056743622
0.0006,12,768,128,48,6,4900,0.0931,4.2056,2155.733840227127
0.0006,12,768,128,48,6,5000,0.0925,4.2560,2198.0774619579315
0.0006,12,768,128,48,6,5100,0.0931,4.2451,2240.424332380295
0.0006,12,768,128,48,6,5200,0.0932,4.1911,2282.802829504013
0.0006,12,768,128,48,6,5300,0.0921,4.2410,2325.1252720355988
